timestamp,signal_strength
2025-01-01T00:00:00,0.8
2025-01-01T00:00:05,0.8
2025-01-01T00:00:10,0.0
2025-01-01T00:00:15,0.8
2025-01-01T00:00:20,0.0
2025-01-01T00:00:25,-0.9
2025-01-01T00:00:30,0.8
2025-01-01T00:00:35,0.0
2025-01-01T00:00:40,-0.9
2025-01-01T00:00:45,-0.9
2025-01-01T00:00:50,-0.9
2025-01-01T00:00:55,-0.9
2025-01-01T00:01:00,0.8
2025-01-01T00:01:05,-0.9
2025-01-01T00:01:10,0.0
2025-01-01T00:01:15,0.8
2025-01-01T00:01:20,0.1
2025-01-01T00:01:25,-0.9
2025-01-01T00:01:30,-0.2
2025-01-01T00:01:35,0.8
2025-01-01T00:01:40,0.0
2025-01-01T00:01:45,-0.9
2025-01-01T00:01:50,0.8
2025-01-01T00:01:55,0.8
2025-01-01T00:02:00,0.8
2025-01-01T00:02:05,-0.9
2025-01-01T00:02:10,-0.9
2025-01-01T00:02:15,0.0
2025-01-01T00:02:20,-0.9
2025-01-01T00:02:25,0.8
2025-01-01T00:02:30,0.1
2025-01-01T00:02:35,-0.2
2025-01-01T00:02:40,0.8
2025-01-01T00:02:45,0.8
2025-01-01T00:02:50,0.8
2025-01-01T00:02:55,-0.2
2025-01-01T00:03:00,0.1
2025-01-01T00:03:05,-0.9
2025-01-01T00:03:10,0.0
2025-01-01T00:03:15,0.0
2025-01-01T00:03:20,-0.9
2025-01-01T00:03:25,0.0
2025-01-01T00:03:30,0.8
2025-01-01T00:03:35,0.8
2025-01-01T00:03:40,0.8
2025-01-01T00:03:45,0.8
2025-01-01T00:03:50,-0.9
2025-01-01T00:03:55,0.0
2025-01-01T00:04:00,0.8
2025-01-01T00:04:05,0.8
2025-01-01T00:04:10,-0.9
2025-01-01T00:04:15,0.0
2025-01-01T00:04:20,-0.9
2025-01-01T00:04:25,-0.9
2025-01-01T00:04:30,0.8
2025-01-01T00:04:35,0.8
2025-01-01T00:04:40,0.0
2025-01-01T00:04:45,0.0
2025-01-01T00:04:50,0.8
2025-01-01T00:04:55,0.0
